Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,免錢的上貴 面冊拜託收我1箍,Bián-tsînn --ê siōng kuì Bīn-tsheh pài-thok siu guá 1 khoo
,人講免錢的上貴，這佇現此時的網路世界來講，真有道理。,"Lâng kóng bián-tsînn --ê siōng kuì, tse tī hiān-tshú-sî ê bāng-lōo sè-kài lâi kóng, tsin ū tō-lí."
,像Facebook、Google遮的各種的網路服務，予咱用免錢的，其實in是欲收集咱的資料、掌握咱的行為，這就是咱愛付出的代價。,"Tshiūnn Facebook, Google tsia-ê kok-tsióng ê bāng-lōo ho̍k-bū, hōo lán iōng bián-tsînn--ê, kî-si̍t in sī beh siu-tsi̍p lán ê tsu-liāu, tsióng-ak lán ê hîng-uî, tse tō sī lán ài hù-tshut ê tāi-kè."
,敢講逐家攏無要無緊？抑是無伊法度？,Kám-kóng ta̍k-ke lóng bô-iàu-bô-kín? Ah-sī bô i huat-tōo?
,最近美國拄好有一寡新的研究。Pew研究中心調查發現，93%的美國人認為，家己會使決定「啥人」會當提著in的資訊，對in來講是誠重要的代誌。,"Tsuè-kīn Bí-kok tú-hó ū tsi̍t-kuá sin ê gián-kiù. Pew gián-kiù tiong-sim tiau-tsa huat-hiān, 93% ê Bí-kok-lâng jīn-uî, ka-kī ē-sái kuat-tīng “siánn-lâng” ē-tàng the̍h-tio̍h in ê tsu-sìn, tuì in lâi kóng sī tsiânn tiōng-iàu ê tāi-tsì."
,九成認為，會使予決定「啥物」資訊通予人收集，是重要的。,"Káu siânn jīn-uî, Ē-sái hōo kuat-tīng “siánn-mih” tsu-sìn thang hōo lâng siu-tsi̍p, sī tiōng-iàu --ê."
,毋過佇仝一个時陣，煞無啥人相信in會好好保守祕密，嘛無啥放心in會絕對安全。,"M̄-koh tī kâng tsi̍t ê sî-tsūn, Suah bô siánn lâng siong-sìn in ē hó-hó pó-siú pì-bi̍t, mā bô siánn hòng-sim in ē tsua̍t-tuì an-tsuân."
,干焦有7%的人對網頁頂刊廣告的廠商有信心、11%對家己使用的社交媒體有信心。,"Kan-na ū 7% ê lâng tuì bāng-ia̍h-tíng khan kóng-kò ê tshiúnn-siong ū sìn-sim, 11% tuì ka-kī sú-iōng ê siā-kau muî-thé ū sìn-sim."
,另外，Pennsylvania大學調查，大眾是毋是願意為著小可錢都來犧牲隱私。,"Līng-guā, Pennsylvania tāi-ha̍k tiâu-tsa tāi-tsiòng sī m̄ sī guān-ì uī-tio̍h sió-khuá tsînn to lâi hi-sing ún-su."
,比論講，若是廠商拍折予你，仝一个時陣，佇你毋知的情形下收集你的資訊，這敢有理？有91%的受訪者認為這無理。,"Pí-lūn kóng, nā-sī tshiúnn-siong phah-tsiat hōo --lí,"
,研究的主持學者Joseph Turow講，民眾毋是誠實甘願為著小可好處，都來交出個人的資料。,"Gián-kiù ê tsú-tshî ha̍k-tsiá Joseph Turow kóng, bîn-tsiòng m̄ sī tsiânn-si̍t kam-guān uī-tio̍h sió-khuá hó-tshù, to lâi kau-tshut kò-jîn ê tsu-liāu."
,「實際上是一種放棄的心態。」,“Si̍t-tsè-siōng sī tsi̍t tsióng hòng-khì ê sim-thài.”
,「美國人感覺，廠商按怎處理抑是收集in的資訊，in無法度控制，只有由在in去。」,"“Bí-kok-lâng kám-kak, tshiúnn-siong án-tsuánn tshú-lí ia̍h-sī siu-tsi̍p in ê tsu-sìn, in bô-huat-tōo khòng-tsè, tsí-ū iû-tsāi in khì.”"
,講著收集使用者資訊，Facebook（面冊）是世界上蓋厲害的怪物。,"Kóng-tio̍h siu-tsi̍p sú-iōng-tsiá tsu-sìn, Facebook (Bīn-tsheh) sī sè-kài siōng-kài lī-hāi ê kuài-bu̍t."
,學者Zeynep Tufekci最近投稿《紐約時報》講，伊甘願納錢使用面冊，共家己資料的主控權挈倒轉來。,"Ha̍k-tsiá Zeynep Tufekci tsuè-kīn tâu-kó “Niú-iok sî-pò” kóng, i kam-guān la̍p-tsînn sú-iōng Bīn-tsheh, kā ka-kī tsu-liāu ê tsú-khòng-khuân khe̍h tò-tńg--lâi."
,Tufekci指出，社交媒體等免費的網路服務的大問題，就是靠廣告趁錢的商業模式。,"Tufekci tsí-tshut, Siā-kau muî-thé tíng bián-huì ê bāng-lōo ho̍k-bū ê tuā būn-tê, tō sī khò kóng-kò thàn-tsînn ê siong-gia̍p bôo-sik."
,為著賣廣告，面冊控制著啥物會出現佇咱的主頁、啥物袂。,"Uī-tio̍h bē kóng-kò, Bīn-tsheh khòng-tsè-tio̍h siánn-mih ē tshut-hiān tī lán ê tsú-ia̍h, siánn-mih bē."
,這已經「攪擾咱佇線頂的互動。」,Tse í-king “kiáu-jiáu lán tī suànn-tíng ê hōo-tōng.”
,尤其單純貼廣告已經趁無錢，所以社交媒體愈來愈需要針對個人，共可能對in有效的廣告分別㧣予in，這就表示愛分析使用者的資料、追蹤in的行為。,"Iû-kî tan-sûn tah kóng-kò í-king thàn bô tsînn, sóo-í siā-kau muî-thé jú lâi jú su-iàu tsiam-tuì kò-jîn, kā khó-lîng tuì in ū-hāu ê kóng-kò hun-pia̍t tu hōo in, tse tō piáu-sī ài hun-sik sú-iōng-tsiá ê tsu-liāu, tui-tsong in ê hîng-uî."
,雖然面冊趁真濟錢，但是Tufekci引用網路專家Ethan Zuckerman所講，面冊一個月平均對每一位使用者，才趁著2角美金，這表示靠廣告趁食的路嘛已經行袂通矣。,"Sui-jiân Bīn-tsheh thàn tsin tsē tsînn, tān-sī Tufekci ín-iōng bāng-lōo tsuan-ka Ethan Zuckerman sóo kóng, Bīn-tsheh tsi̍t kò gue̍h pîng-kin uì muí tsi̍t uī sú-iōng-tsiá, tsiah thàn-tio̍h 2 kak Bí-kim, tse piáu-sī khò kóng-kò thàn-tsia̍h ê lōo mā í-king kiânn bē thong --ah."
,面冊應該愛開放予使用者納錢，伊相信有幾若億的用戶佮伊仝款，願意逐個月付1箍美金，,"Bīn-tsheh ing-kai ài khai-hòng hōo sú-iōng-tsiá la̍p-tsînn, i siong-sìn ū kuí-nā ik ê iōng-hōo kah i kāng-khuán, guān-ì ta̍k kò gue̍h hù 1 khoo Bí-kim,"
,「做一个消費者，毋是一項產品。」,"“tsò tsi̍t ê siau-huì-tsiá, m̄ sī tsi̍t hāng sán-phín.”"
,毋過話講倒轉來，遮的免費的網路服務，嘛毋但是趁廣告錢爾爾。,"M̄-koh uē kóng tò-tńg--lâi, tsia-ê bián-huì ê bāng-lōo ho̍k-bū, mā m̄-nā sī thàn kóng-kò tsînn niā-niā."
