Im-tóng,Hàn-jī,Lô-má-jī,Tsing-kui-hàn-jī,Tsing-kui-lô-má-jī
,陳先生好，身軀佗位無爽快？,"Tân--sian-sinn hó, sin-khu tó-uī bô sóng-khuài?"
,感覺有發燒，會畏寒。,"Kám-kak ū huat-sio, ē uì-kuânn."
,燒幾工矣？,Sio kuí kang--ah?
,對頂禮拜拜四開始到今仔日拜二，攏總六工矣。,"Tuì tíng lé-pài pài-sì khai-sí kàu kin-á-ji̍t pài-jī, lóng-tsóng la̍k kang--ah."
,好。以後若是發燒超過兩工，就愛隨來檢查喔。,"Hó. Í-āu ná-sī huat-sio tshiau-kuè nn̄g kang, tō ài suî lâi kiám-tsa--ooh."
,嚨喉敢有按怎（àn-nuá）？敢有感覺擽擽？,Nâ-âu kám ū àn-nuá? Kám ū kám-kak ngiau-ngiau?
,有，有時仔會感覺嚨喉擽擽。,"Ū, ū-sî-á ē kám-kak nâ-âu ngiau-ngiau."
,頭殼--le？,Thâu-khak--le?
,敢有嗽？當時會嗽？,Kám ū sàu？Tang-sî ē sàu?
,半暝較會嗽。,Puànn-mê khah ē sàu.
,痰是啥物色的？,Thâm sī siánn-mih sik--ê?
,痰是青色有膿。毋過有當時仔內底有血。,Thâm sī tshenn-sik ū lâng. M̄-kò ū-tang-sî-á lāi-té ū hueh.
,請佇外口小等一下，等咧若喝著你的名才閣入來。,"Tshiánn tī guā-kháu sió-tán--tsi̍t-ē, tán--leh nā huah-tio̍h lí ê miâ tsiah-koh ji̍p--lâi."
,先生你好，會用得入來看報告矣。,"Sian-sinn lí hó, ē-īng-eh ji̍p-lâi khuànn pò-kò--ah."
,照檢查結果來看是無著流感，就是較嚴重的感冒爾爾。免煩惱。,"Tsiàu kiám-tsa kiat-kó lâi khuànn sī bô tio̍h liû-kám, tiō sī khah giâm-tiōng ê kám-mōo niā-niā. Bián huân-ló."
,因為這擺發燒較重，我會開這粒粉紅的予你（lí#）。這是抗生素，一工食一粒，一定愛照起工食喔。,"In-uī tsit pái huat-sio khah tāng, guá ē khui tsit lia̍p hún-âng--ê hōo lí#. Tse sī khòng-sing-sòo, tsi̍t kang tsia̍h tsi̍t lia̍p, it-tīng ài tsiàu-khí-kang tsia̍h--oo."
,我嘛會閣開另外一種的退燒藥仔予你，彼若是粉紅的食了過一點鐘猶是（iá sī）無效，你就閣食一粒這退燒藥仔。,"Guá mā ē koh khui līng-guā tsi̍t tsíng ê thè-sio-io̍h-á hōo--lí, he ná-sī hún-âng--ê tsia̍h-liáu kuè tsi̍t tiám-tsing iá sī bô-hāu, lí tō koh tsia̍h tsi̍t lia̍p tse thè-sio-io̍h-á."
,好，按呢就無代誌啦乎。,"Hó, án-ne tō bô tāi-tsì--lah--honnh."
,請佇外口等藥單佮健保卡。,Tshiánn tī guā-kháu tán io̍h-tuann kah kiān-pó-khah.
,你挈這張藥單佮健保卡，對彼爿的樓梯行起去（--khì-lì），到五樓領藥。,"Lí khe̍h tsit tiunn io̍h-tuann kah kiān-pó-khah, tuì hit-pîng ê lâu-thui kiânn--khì-lì, kàu gōo lâu niá io̍h."
,阿瑞感冒矣，拜託你，替伊請假。,"A-suī kám-mōo--ah, pài-thok--lí, thè i tshíng-ká."
,曾的感冒矣，拜託你替伊請假。,"Tsan--ê kám-mōo--ah, pài-thok lí thè i tshíng-ká."
,阿莊感冒矣，拜託，你替伊請假。,"A-tsng kám-mōo--ah, pài-thok, lí thè i tshíng-ká."
,真失禮，我感冒矣，直直流鼻，人規工攏無啥（sánn）爽快，敢若閣發燒。,"Tsin sit-lé, guá kám-mōo--ah, ti̍t-ti̍t lâu-phīnn, lâng kui kang lóng bô sánn sóng-khuài, kán-ná koh huat-sio."
